#distance(cm)	 time(ms) 
26.180000000000003	5878.0
26.435000000000002	5894.0
26.996000000000002	5911.0
26.996000000000002	5928.0
27.098000000000003	5944.0
27.302000000000003	5961.0
27.387	5977.0
27.336000000000002	5994.0
27.404000000000003	6011.0
27.557000000000002	6027.0
27.149	6044.0
27.03	6061.0
27.438000000000002	6077.0
27.081000000000003	6094.0
27.438000000000002	6110.0
26.826	6128.0
26.741000000000003	6144.0
26.741000000000003	6160.0
27.047	6177.0
26.384	6194.0
26.639000000000003	6211.0
25.721	6227.0
25.534000000000002	6243.0
26.078000000000003	6261.0
25.007	6277.0
24.956000000000003	6294.0
24.803	6310.0
24.446	6327.0
24.174000000000003	6344.0
24.038	6360.0
23.783	6376.0
23.086000000000002	6393.0
23.12	6410.0
22.066000000000003	6427.0
22.627000000000002	6443.0
21.862000000000002	6459.0
21.403000000000002	6477.0
21.148000000000003	6493.0
20.808	6510.0
19.992	6526.0
19.584000000000003	6542.0
19.176000000000002	6560.0
19.176000000000002	6576.0
18.326	6593.0
17.867	6609.0
17.408	6626.0
17.0	6643.0
16.541	6659.0
16.133000000000003	6674.0
16.218	6691.0
15.742	6706.0
15.334000000000001	6722.0
15.385000000000002	6737.0
15.436000000000002	6752.0
15.079	6769.0
14.263000000000002	6784.0
13.957	6799.0
13.209000000000001	6815.0
13.005	6830.0
13.056000000000001	6846.0
12.342	6862.0
12.036000000000001	6877.0
11.883000000000001	6893.0
11.543000000000001	6909.0
10.829	6924.0
11.033000000000001	6940.0
10.421000000000001	6955.0
10.115	6970.0
10.217	6987.0
9.962000000000002	7002.0
9.265	7017.0
9.622	7033.0
8.908000000000001	7048.0
9.044	7065.0
8.381	7080.0
8.755	7095.0
8.092	7111.0
8.33	7127.0
8.636000000000001	7142.0
7.684	7158.0
7.361000000000001	7173.0
7.939000000000001	7190.0
7.888000000000001	7205.0
7.99	7220.0
7.582000000000001	7236.0
7.361000000000001	7251.0
7.633000000000001	7267.0
8.704	7283.0
8.092	7298.0
8.755	7313.0
8.857000000000001	7330.0
8.755	7345.0
9.214	7361.0
10.421000000000001	7376.0
10.268	7392.0
10.727	7408.0
10.829	7423.0
11.679	7438.0
11.169	7455.0
12.036000000000001	7470.0
13.056000000000001	7485.0
13.396	7502.0
14.314000000000002	7517.0
14.824000000000002	7533.0
15.776000000000002	7548.0
15.436000000000002	7564.0
15.895000000000001	7580.0
16.796000000000003	7595.0
16.847	7610.0
17.306	7627.0
17.816000000000003	7643.0
17.901	7660.0
18.411	7676.0
18.887	7693.0
19.839000000000002	7710.0
20.349	7726.0
20.740000000000002	7743.0
21.301000000000002	7760.0
22.219	7776.0
22.253	7793.0
22.627000000000002	7810.0
23.630000000000003	7826.0
24.089000000000002	7843.0
24.854000000000003	7860.0
24.854000000000003	7877.0
25.279000000000003	7893.0
25.67	7909.0
25.976000000000003	7927.0
26.792	7943.0
27.71	7960.0
27.948	7977.0
29.580000000000002	7993.0
29.869000000000003	8010.0
30.685000000000002	8026.0
31.297	8044.0
31.535000000000004	8060.0
32.657000000000004	8076.0
nan	8286.0
101.11600000000001	8292.0
nan	8488.0
30.583000000000002	8491.0
30.651000000000003	8493.0
30.481	8496.0
30.430000000000003	8499.0
30.617	8501.0
29.665000000000003	8517.0
28.917	8533.0
28.662000000000003	8549.0
27.353	8567.0
26.537000000000003	8583.0
26.588	8600.0
25.874000000000002	8616.0
25.466	8632.0
24.973000000000003	8650.0
24.684	8666.0
24.803	8682.0
23.936	8699.0
23.426000000000002	8716.0
22.559	8733.0
22.270000000000003	8749.0
21.862000000000002	8765.0
21.454	8782.0
21.352	8799.0
20.587	8816.0
20.128	8832.0
19.737000000000002	8848.0
18.768	8866.0
18.462	8882.0
18.071	8899.0
17.663	8915.0
17.255000000000003	8931.0
17.255000000000003	8949.0
16.388	8965.0
15.98	8980.0
16.031000000000002	8996.0
15.232000000000001	9012.0
15.283000000000001	9028.0
14.926000000000002	9043.0
14.518	9058.0
14.671000000000001	9074.0
14.161000000000001	9090.0
14.212000000000002	9105.0
13.872000000000002	9121.0
13.209000000000001	9136.0
12.342	9153.0
12.444	9168.0
12.138000000000002	9183.0
11.424000000000001	9199.0
10.88	9214.0
10.523000000000001	9230.0
10.761000000000001	9246.0
10.574000000000002	9261.0
10.914000000000001	9276.0
10.336	9293.0
10.523000000000001	9308.0
10.421000000000001	9324.0
9.622	9339.0
9.962000000000002	9354.0
10.217	9371.0
10.217	9386.0
10.370000000000001	9402.0
10.421000000000001	9419.0
9.571000000000002	9436.0
10.064	9453.0
10.778	9469.0
10.523000000000001	9485.0
10.625	9503.0
10.829	9519.0
11.169	9535.0
11.832	9552.0
11.577	9569.0
11.883000000000001	9586.0
12.699000000000002	9602.0
12.903	9619.0
12.801	9636.0
12.750000000000002	9652.0
13.617	9669.0
13.464	9686.0
14.212000000000002	9702.0
14.569	9719.0
15.028	9735.0
14.875000000000002	9753.0
15.283000000000001	9769.0
15.64	9785.0
15.691	9802.0
16.388	9819.0
16.337	9836.0
17.153000000000002	9852.0
17.51	9870.0
17.901	9888.0
18.717000000000002	9905.0
19.074	9923.0
19.482000000000003	9941.0
20.281000000000002	9958.0
20.247	9976.0
20.485000000000003	9994.0
20.485000000000003	10012.0
20.859	10029.0
21.199	10046.0
22.304000000000002	10065.0
22.372	10082.0
23.12	10100.0
23.375	10118.0
23.834000000000003	10136.0
24.191000000000003	10153.0
24.089000000000002	10170.0
24.293000000000003	10189.0
24.701	10206.0
25.721	10224.0
25.466	10242.0
26.180000000000003	10259.0
26.996000000000002	10277.0
27.999000000000002	10295.0
27.387	10313.0
28.05	10330.0
28.356	10348.0
29.325000000000003	10366.0
29.070000000000004	10383.0
29.716	10401.0
30.175	10419.0
29.410000000000004	10437.0
30.328000000000003	10454.0
30.039	10471.0
29.937	10490.0
29.461000000000002	10507.0
29.019000000000002	10525.0
29.070000000000004	10542.0
28.866000000000003	10561.0
28.764000000000003	10578.0
28.611	10595.0
28.968000000000004	10613.0
27.795	10631.0
27.591	10649.0
27.506	10666.0
26.843000000000004	10683.0
26.945	10702.0
26.282000000000004	10719.0
26.146	10737.0
25.024	10754.0
25.058000000000003	10772.0
24.497000000000003	10790.0
24.293000000000003	10807.0
23.987000000000002	10825.0
23.579	10843.0
23.273000000000003	10861.0
23.035	10878.0
22.678	10895.0
22.151000000000003	10914.0
21.862000000000002	10931.0
21.913	10949.0
21.505000000000003	10966.0
20.57	10984.0
20.247	11002.0
19.788	11019.0
19.329	11037.0
18.87	11054.0
18.377000000000002	11073.0
17.918000000000003	11090.0
17.408	11107.0
16.898	11125.0
16.439	11142.0
15.98	11159.0
15.538	11175.0
14.620000000000001	11191.0
14.178	11209.0
13.719000000000001	11225.0
13.260000000000002	11241.0
12.393	11258.0
12.036000000000001	11274.0
11.934000000000001	11292.0
11.594000000000001	11308.0
10.778	11324.0
10.523000000000001	11341.0
10.064	11358.0
10.625	11375.0
9.911000000000001	11391.0
9.724	11407.0
9.452	11424.0
9.163	11441.0
9.350000000000001	11458.0
8.857000000000001	11474.0
9.061	11490.0
8.347000000000001	11508.0
8.602	11524.0
8.5	11540.0
8.347000000000001	11557.0
7.582000000000001	11574.0
7.888000000000001	11591.0
8.296000000000001	11607.0
7.752000000000001	11623.0
7.3100000000000005	11641.0
7.3100000000000005	11657.0
7.412000000000001	11674.0
7.803000000000001	11690.0
8.245000000000001	11707.0
7.531000000000001	11724.0
7.412000000000001	11740.0
7.939000000000001	11757.0
7.99	11774.0
8.245000000000001	11790.0
9.418000000000001	11807.0
8.857000000000001	11823.0
9.01	11841.0
9.707	11857.0
9.724	11873.0
9.962000000000002	11891.0
10.268	11907.0
11.033000000000001	11923.0
11.033000000000001	11940.0
11.271	11957.0
11.628	11974.0
12.002	11990.0
12.053	12006.0
13.141000000000002	12024.0
13.974	12040.0
14.773000000000001	12057.0
15.181000000000001	12074.0
16.439	12090.0
16.439	12107.0
15.98	12123.0
15.997000000000002	12141.0
16.388	12157.0
17.204	12173.0
17.612000000000002	12191.0
17.612000000000002	12209.0
18.02	12227.0
18.87	12244.0
20.179000000000002	12262.0
20.655	12280.0
20.196	12297.0
20.893	12316.0
20.553	12333.0
21.352	12350.0
21.318	12368.0
21.607000000000003	12386.0
22.525000000000002	12404.0
22.882	12421.0
23.12	12440.0
23.477	12457.0
24.293000000000003	12474.0
24.548000000000002	12492.0
24.701	12510.0
24.497000000000003	12528.0
24.395000000000003	12545.0
24.956000000000003	12562.0
24.973000000000003	12581.0
25.211000000000002	12598.0
25.364	12616.0
25.364	12634.0
25.466	12652.0
25.67	12669.0
26.129	12686.0
25.619000000000003	12705.0
25.568	12722.0
25.619000000000003	12740.0
25.517000000000003	12757.0
24.905	12775.0
25.228	12793.0
24.854000000000003	12810.0
24.990000000000002	12828.0
24.327	12846.0
24.650000000000002	12863.0
24.395000000000003	12881.0
24.14	12898.0
24.191000000000003	12917.0
23.579	12934.0
22.882	12952.0
22.559	12969.0
22.151000000000003	12987.0
21.964000000000002	13005.0
21.607000000000003	13022.0
21.25	13040.0
21.199	13058.0
21.352	13075.0
21.403000000000002	13093.0
20.587	13110.0
19.737000000000002	13129.0
18.87	13146.0
18.87	13164.0
18.411	13181.0
17.952	13199.0
17.459	13217.0
17.357000000000003	13234.0
16.796000000000003	13252.0
15.895000000000001	13269.0
15.385000000000002	13285.0
14.875000000000002	13302.0
14.416	13318.0
13.617	13335.0
13.039000000000001	13352.0
12.597000000000001	13368.0
11.747000000000002	13385.0
11.849	13401.0
11.322000000000001	13418.0
10.523000000000001	13435.0
10.625	13451.0
10.421000000000001	13468.0
9.248000000000001	13484.0
8.806000000000001	13501.0
9.418000000000001	13518.0
8.857000000000001	13534.0
9.044	13551.0
8.296000000000001	13568.0
8.5	13584.0
8.041	13601.0
8.296000000000001	13617.0
7.582000000000001	13635.0
6.800000000000001	13651.0
7.548000000000001	13667.0
7.888000000000001	13684.0
7.684	13701.0
7.361000000000001	13718.0
7.48	13734.0
7.888000000000001	13750.0
7.888000000000001	13768.0
7.531000000000001	13784.0
7.412000000000001	13800.0
7.888000000000001	13817.0
7.939000000000001	13834.0
8.551	13851.0
8.449	13867.0
9.112	13883.0
8.806000000000001	13901.0
9.061	13917.0
9.367	13934.0
9.656	13950.0
9.758000000000001	13967.0
10.013	13984.0
10.030000000000001	14000.0
11.475000000000001	14018.0
11.322000000000001	14034.0
11.628	14050.0
12.512	14067.0
12.750000000000002	14084.0
13.515	14100.0
14.314000000000002	14117.0
14.824000000000002	14133.0
15.13	14151.0
15.538	14167.0
15.079	14183.0
15.878000000000002	14201.0
15.827000000000002	14217.0
16.643	14234.0
17.0	14250.0
17.408	14268.0
18.666	14286.0
19.074	14303.0
19.380000000000003	14322.0
20.298000000000002	14339.0
20.638	14356.0
39.338	14376.0
39.746	14393.0
40.001000000000005	14411.0
40.664	14428.0
23.171000000000003	14446.0
23.579	14463.0
23.834000000000003	14480.0
24.089000000000002	14499.0
24.225	14516.0
24.14	14534.0
24.344	14551.0
23.987000000000002	14569.0
24.14	14587.0
23.936	14604.0
24.038	14622.0
24.854000000000003	14640.0
25.177000000000003	14658.0
24.939	14675.0
24.888	14692.0
24.701	14711.0
24.956000000000003	14728.0
45.849000000000004	14747.0
24.650000000000002	14764.0
44.523	14782.0
23.885	14799.0
23.222	14816.0
22.967000000000002	14834.0
22.627000000000002	14852.0
22.015	14870.0
22.559	14887.0
23.018	14905.0
21.454	14923.0
19.992	14940.0
20.485000000000003	14958.0
20.145000000000003	14975.0
18.921000000000003	14993.0
18.564	15011.0
18.224	15028.0
17.867	15046.0
17.102	15064.0
16.745	15081.0
16.847	15098.0
16.949	15114.0
16.235	15132.0
15.929	15148.0
14.773000000000001	15164.0
14.926000000000002	15181.0
14.773000000000001	15197.0
13.974	15215.0
13.651000000000002	15231.0
12.954	15247.0
12.801	15264.0
12.393	15281.0
12.087000000000002	15298.0
11.781	15314.0
12.036000000000001	15330.0
10.88	15348.0
10.863000000000001	15364.0
11.016	15380.0
10.472000000000001	15397.0
10.166	15413.0
10.268	15431.0
9.554	15447.0
9.401	15463.0
9.197000000000001	15480.0
8.84	15497.0
8.704	15514.0
8.551	15530.0
8.449	15546.0
8.551	15564.0
7.939000000000001	15580.0
8.347000000000001	15597.0
8.194	15613.0
7.582000000000001	15630.0
7.259	15647.0
7.3100000000000005	15663.0
7.599	15679.0
7.48	15697.0
7.939000000000001	15713.0
7.378	15730.0
7.7010000000000005	15746.0
7.3100000000000005	15763.0
8.143	15780.0
8.347000000000001	15796.0
8.041	15813.0
8.041	15830.0
8.653	15846.0
8.041	15863.0
9.112	15879.0
9.197000000000001	15897.0
9.061	15913.0
9.826	15929.0
9.265	15946.0
9.911000000000001	15963.0
10.608	15980.0
11.033000000000001	15996.0
10.88	16013.0
11.135000000000002	16030.0
11.883000000000001	16046.0
12.291	16062.0
12.495000000000001	16080.0
12.801	16096.0
13.141000000000002	16113.0
13.957	16129.0
14.620000000000001	16146.0
15.776000000000002	16163.0
16.133000000000003	16179.0
16.031000000000002	16197.0
16.337	16213.0
16.592000000000002	16229.0
16.439	16246.0
16.286	16263.0
16.490000000000002	16280.0
16.745	16296.0
17.408	16312.0
17.204	16331.0
17.867	16348.0
18.071	16366.0
18.615000000000002	16384.0
19.329	16401.0
19.125	16419.0
20.128	16436.0
20.247	16455.0
20.502000000000002	16472.0
59.772000000000006	16493.0
21.505000000000003	16508.0
nan	16719.0
21.25	16721.0
107.55900000000001	16728.0
20.043000000000003	16730.0
20.298000000000002	16732.0
20.740000000000002	16735.0
20.757	16753.0
20.604000000000003	16770.0
19.584000000000003	16787.0
19.839000000000002	16806.0
19.635	16823.0
19.023	16841.0
18.377000000000002	16858.0
18.581000000000003	16877.0
17.51	16894.0
17.255000000000003	16911.0
17.459	16929.0
17.204	16947.0
16.949	16965.0
17.153000000000002	16981.0
16.439	16998.0
17.051000000000002	17016.0
16.354000000000003	17033.0
16.031000000000002	17050.0
16.184	17066.0
15.487000000000002	17083.0
14.773000000000001	17100.0
14.059000000000001	17116.0
14.212000000000002	17133.0
13.532000000000002	17150.0
12.784	17166.0
12.495000000000001	17183.0
12.24	17199.0
11.628	17215.0
11.22	17233.0
11.441	17249.0
10.727	17266.0
10.574000000000002	17282.0
10.217	17299.0
9.962000000000002	17316.0
9.707	17332.0
9.622	17349.0
9.248000000000001	17366.0
9.112	17382.0
